City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,ceeldheer,3.8488,47.1806,25.930000000000007,84,81,7.61,SO,1717126985
95,nouadhibou,20.931,-17.0347,18.99000000000001,88,0,4.12,MR,1717126985
96,fernie,49.5,-115.0687,12.050000000000011,69,66,1.18,CA,1717126985
97,kodinsk,58.6881,99.1844,9.129999999999995,64,100,3.07,RU,1717126985
98,san antonio de pale,-1.4014,5.6325,26.850000000000023,74,100,5.06,GQ,1717126985
99,fortuna,40.5982,-124.1573,14.189999999999998,79,0,4.12,US,1717126985
100,atafu village,-8.5421,-172.5159,29.370000000000005,75,46,5.75,TK,1717126986
101,margaret river,-33.95,115.0667,19.060000000000002,65,86,7.69,AU,1717126986
102,port mathurin,-19.6833,63.4167,24.52000000000004,78,86,12.27,MU,1717126986
103,carnarvon,-24.8667,113.6333,23.05000000000001,24,0,3.12,AU,1717126986
104,lata,40.1629,-8.3327,15.600000000000023,78,59,4.05,PT,1717126986
105,tual,-5.6667,132.75,28.0,79,7,3.43,ID,1717126986
106,bilibino,68.0546,166.4372,5.170000000000016,54,48,5.54,RU,1717126986
107,bredasdorp,-34.5322,20.0403,9.25,86,20,0.32,ZA,1717126986
108,coquimbo,-29.9533,-71.3436,11.850000000000023,100,100,2.57,CL,1717126987
109,uturoa,-16.7333,-151.4333,27.120000000000005,80,29,4.17,PF,1717126987
110,olonkinbyen,70.9221,-8.7187,0.29000000000002046,80,93,6.71,SJ,1717126987
111,cam ranh,11.9214,109.1591,34.98000000000002,46,0,5.66,VN,1717126987
112,altamira,-3.2033,-52.2064,23.140000000000043,98,100,0.76,BR,1717126597
113,usinsk,65.9939,57.5281,0.040000000000020464,64,100,7.6,RU,1717126987
114,west island,-12.1568,96.8225,28.99000000000001,74,40,5.66,CC,1717126987
115,fort st. john,56.2499,-120.8529,11.939999999999998,40,75,8.23,CA,1717126987
116,trondheim,63.4305,10.3951,14.03000000000003,88,95,0.45,NO,1717126988
117,luderitz,-26.6481,15.1594,12.57000000000005,88,1,5.79,NA,1717126988
118,puerto natales,-51.7236,-72.4875,-1.17999999999995,93,86,1.17,CL,1717126988
119,crane,31.3974,-102.3501,28.939999999999998,54,0,8.88,US,1717126988
120,newman,37.3138,-121.0208,28.99000000000001,50,11,0.45,US,1717126988
121,nagqu,31.5,92.0,11.82000000000005,45,88,5.34,CN,1717126988
122,beira,-19.8436,34.8389,19.05000000000001,82,20,1.54,MZ,1717126989
123,homer,59.6425,-151.5483,11.939999999999998,57,100,0.0,US,1717126989
124,kovernino,57.1253,43.8142,16.120000000000005,92,100,2.27,RU,1717126989
125,gadzhiyevo,69.2551,33.3362,15.990000000000009,69,55,5.12,RU,1717126989
126,trairi,-3.2778,-39.2689,23.470000000000027,94,81,2.5,BR,1717126989
127,punta arenas,-53.15,-70.9167,-0.9399999999999977,100,0,3.09,CL,1717126989
128,es castell,39.8795,4.2854,17.379999999999995,88,20,7.2,ES,1717126989
129,arno,60.1167,18.6333,12.660000000000025,82,88,2.85,SE,1717126990
130,acapulco de juarez,16.8634,-99.8901,29.900000000000034,66,0,2.57,MX,1717126744
131,port elizabeth,-33.918,25.5701,14.5,82,20,6.17,ZA,1717126990
132,bull savanna,17.8868,-77.5902,25.379999999999995,81,100,3.42,JM,1717126990
133,hithadhoo,-0.6,73.0833,29.160000000000025,77,99,7.99,MV,1717126990
134,lebu,-37.6167,-73.65,9.300000000000011,93,100,2.63,CL,1717126990
135,christchurch,-43.5333,172.6333,15.740000000000009,62,87,4.12,NZ,1717126847
136,broken hill,-31.95,141.4333,16.410000000000025,48,4,5.07,AU,1717126990
137,kapa'a,22.0752,-159.319,28.99000000000001,77,20,7.72,US,1717126990
138,qaqortoq,60.7167,-46.0333,1.240000000000009,84,100,2.21,GL,1717126991
